key,en_present,zh_present,consumer_scope,owner,sdk_key,compatibility_until
extend.launchpad.vesting_duration_d,true,true,sdk-domain-and-legacy-template,legacy-compat,launchpad.vesting_duration_d,stage-6
extend.launchpad.vesting_duration_explained,true,true,sdk-domain-and-legacy-template,legacy-compat,launchpad.vesting_duration_explained,stage-6
extend.launchpad.vesting_duration_label,true,true,sdk-domain-and-legacy-template,legacy-compat,launchpad.vesting_duration_label,stage-6
extend.launchpad.vesting_duration_m,true,true,sdk-domain-and-legacy-template,legacy-compat,launchpad.vesting_duration_m,stage-6
extend.launchpad.vesting_duration_w,true,true,sdk-domain-and-legacy-template,legacy-compat,launchpad.vesting_duration_w,stage-6
extend.launchpad.vesting_duration_y,true,true,sdk-domain-and-legacy-template,legacy-compat,launchpad.vesting_duration_y,stage-6
extend.launchpad.vesting_title,true,true,sdk-domain-and-legacy-template,legacy-compat,launchpad.vesting_title,stage-6
extend.launchpad.website_label,true,true,sdk-domain-and-legacy-template,legacy-compat,launchpad.website_label,stage-6
extend.launchpad.website_placeholder,true,true,sdk-domain-and-legacy-template,legacy-compat,launchpad.website_placeholder,stage-6
extend.nav.channels,true,true,apps-web,application,,
extend.nav.discover,true,true,apps-web,application,,
extend.nav.markets,true,true,apps-web,application,,
extend.nav.matches,true,true,apps-web,application,,
extend.nav.perpetuals,true,true,apps-web,application,,
extend.nav.portfolio,true,true,apps-web,application,,
extend.nav.predict,true,true,apps-web,application,,
extend.nav.pulse,true,true,apps-web,application,,
extend.network.stable,true,true,apps-web,application,,
extend.perpetuals.cancel.cancelFailed,true,true,sdk-domain-and-legacy-template,legacy-compat,perpetuals.cancel.cancelFailed,stage-6
extend.perpetuals.cancel.canceled,true,true,sdk-domain-and-legacy-template,legacy-compat,perpetuals.cancel.canceled,stage-6
extend.perpetuals.cancel.missingOrderId,true,true,sdk-domain-and-legacy-template,legacy-compat,perpetuals.cancel.missingOrderId,stage-6
extend.perpetuals.cancel.needsEvmWallet,true,true,sdk-domain-and-legacy-template,legacy-compat,perpetuals.cancel.needsEvmWallet,stage-6
extend.perpetuals.leverage.needsEvmWallet,true,true,sdk-domain-and-legacy-template,legacy-compat,perpetuals.leverage.needsEvmWallet,stage-6
extend.perpetuals.leverage.updateFailed,true,true,sdk-domain-and-legacy-template,legacy-compat,perpetuals.leverage.updateFailed,stage-6
extend.perpetuals.leverage.updated,true,true,sdk-domain-and-legacy-template,legacy-compat,perpetuals.leverage.updated,stage-6
extend.perpetuals.order.needsEvmWallet,true,true,sdk-domain-and-legacy-template,legacy-compat,perpetuals.order.needsEvmWallet,stage-6
extend.perpetuals.order.placeFailed,true,true,sdk-domain-and-legacy-template,legacy-compat,perpetuals.order.placeFailed,stage-6
extend.perpetuals.order.placed,true,true,sdk-domain-and-legacy-template,legacy-compat,perpetuals.order.placed,stage-6
extend.perpetuals.order.resting,true,true,sdk-domain-and-legacy-template,legacy-compat,perpetuals.order.resting,stage-6
extend.portfolio.allTimePnl,true,true,sdk-domain-and-legacy-template,legacy-compat,portfolio.allTimePnl,stage-6
extend.portfolio.allocation.noHoldings,true,true,sdk-domain-and-legacy-template,legacy-compat,portfolio.allocation.noHoldings,stage-6
extend.portfolio.allocation.noWallet,true,true,sdk-domain-and-legacy-template,legacy-compat,portfolio.allocation.noWallet,stage-6
extend.portfolio.allocation.title,true,true,sdk-domain-and-legacy-template,legacy-compat,portfolio.allocation.title,stage-6
extend.portfolio.buyingPower,true,true,sdk-domain-and-legacy-template,legacy-compat,portfolio.buyingPower,stage-6
extend.portfolio.cancel,true,true,sdk-domain-and-legacy-template,legacy-compat,portfolio.cancel,stage-6
extend.portfolio.cancelFailed,true,true,sdk-domain-and-legacy-template,legacy-compat,portfolio.cancelFailed,stage-6
